1494	The Islamic Republic only wants death for the Iranian people.  The mullahs' regime brought Coronavirus to Iran to kill the people.  That way the world doesn't ask them why they killed people! #NoVote4Terrorists https://t.co/UGqzGsAp41	1
1371	#covid19 #coronavirus #WuFlu total cases for "Diamond Princess", Yokohama, now: 634	0
1879	Asian Americans join #WashTheHate campaign to raise awareness of discrimination amid coronavirus fears. https://t.co/3nF3J36YDi	0
1063	Media in TV and Internet has make me feel bad too. I start coughing because i was really scared so it results a vomit. I fucking hate because i thought i might get a coronavirus which it was really bad but no! Coronavirus in china is almost gone. Most of the people get recovered.	0
450	@cravecreative @Tiamatst81 Horrible stuff.  Good for you for showing it.  BardsofWar on Youtube has talked about Wuhan being hotbed of Nationalists and Coronavirus may be cover for suppression (and of course the maneStreemMedia somehow does not cover Hong Kong).  The gore and filth of communism.	1
1727	This week by popular request we discuss how the Coronavirus has impacted everyday life in Japan and ask whether you should be concerned if you plan to visit the country in the coming months. Definitely worth a listen if you're planning a trip in 2020. ► https://t.co/X35tuGPw0M https://t.co/TRId80BNtT	0
1857	@FeoChin @realDonaldTrump @USArmy In honor of all my Asian friends, #WashTheHate.	0
27	Let there be no mistake, China is not responsible for #ChinaVirus. We are, everyone of us suffering in any part of the world. If we take this shit lying down, we deserve this.  Watch them make money as the nations bleed .... wake up.	0
1897	@OldGeorgeWash @CCTVAsiaPacific Most are business men that went to buy goods from #Guangzhou #china #RacismIsAVirus	0
1267	@Pepitog87237645 @NightmarePetrol @BTS_twt get outta here with that ching chong corona virus dog eating shit	1
1325	u know my mom had a point earlier that she brought up: what if this coronavirus shit is bioterrorism?	0
688	@PoRiverJamBand @soniagupta504 Globalism unleashing the covid19 virus will kill a thousand times what all hate crimes have. Stop globalism destroying our borders. Never forget the 11,600 Italians who died because globalists brought in 325,000 Chinese workers to keep Gucci purses cheap.	0
1707	Repost ↪️  #CoronaVirus arrests... What is going on?  #coronaviruschina #WuhanVirus #corona #ChinaVirus #China  https://t.co/FuGmPw8fNe	0
493	@MollyJongFast DON'T BELIEVE THIS SHIT..CHINA AND ITALY DIDN'T TAKE IT SERIOUS TILL IT GOT OUT OF HAND!! WE CAN LET THAT HAPPEN HERE!!!!!! #coronavirus	0
1099	@AmbassadorRice @mitchellreports The POTUS does not have an issue with black women. Enough of the race-baiting crap. The real racist is you Susan. And it is not racist-baiting to call it the Wuhan virus. Where did it originate Susan? Why are you pushing China's propaganda? China is our enemy. #RacistRice	1
2260	@StephenKing Many Asian friends have been the victims of racism because of that. #WashTheHate	0
98	@isgoodrum We do not need the intelligence community to know what happened with the #CCPVirus. The CCP hide the information from early Nov 2019. Tedros,, the maoist stated Jan 14th there was no human to human contact.  Tedros lied... people died	1
1411	The Four Coronavirus Scenarios: The Bad; The Worse; The Ugly; And The Unthinkable.   FACTS COVID19   #coronavirus  #Epidemic #CoronaOutbreak #Quarantine  #ChinaVirus #China   #Wuhan  #2019nCoV  #pandemic  #COVID19  #COVID_19 #COVID-19 #ChinaVirus  https://t.co/rbB8ag2g7y	0
198	Fucking chinese bot They eat shit LMAO	1
1852	Commies love to fantasize about genocide:	0
