,Text,Label
1,@China_Amb_India Fucking piece of shit your whole community is solely responsible for the Chinese virus. Chinese dipshits should apologise to the world for their existence on this planet.,Hate
2,I’m not being funny but #Coronavirus in....   China  Iran  Italy   That’s some pretty random shit.,Neutral
3,Got on the Victoria Line today to seven sisters and some chinese cunt coughed on me. Decked the cunt in his throat but now im worried that i’m gonna get the bat virus ffs,Hate
4,It's appalling that the media &amp; libtards bitch about the virus being referred to as the "Chinese Virus" but no one seems to give a shit about the poor lives of the dogs &amp; cats that are being eaten alive &amp; tortured for food. Why isn't PETA raising hell about this?  Just EVIL.,Hate
5,Dude fuck the Chinese man fuck em and if you think what I’m saying is wrong or rude you’re the problem,Hate
6,Dear @Twitter Could you please kindly TURN ON your Moderation so we the ppl stop seeing the "Korean / Vietnamese Bitching" going on under  #COVID19 ? Thank you. Some of us r interested in the #Coronavirus information not in Asian bitching... Thank you in advance...,Neutral
7,@realDonaldTrump so much for it being the Chinese virus..yo ass sponsored the fucking country’s quarantine https://t.co/oxTRUbhJ6m,Neutral
8,@ToolFree2point0 @koreanjewcrypto ☝️☝️☝️☝️Just like the media blowing up the terms “Chinese Virus” and “Wuhan Virus” and then callin Trump racist as soon as he starts saying it.  They are hypocritical pieces of shit.,Non-Asian Aggression
9,@BarrazaSdfjbjr @UofAlec You cant blame donald Trump for a virus spreading across every country on the planet. He was being impeached in america when the outbreak was in Wuhan China. Blame the people who worked in the labs or ate a bat in Wuhan. Those dumb fucks are responsible way more than trump. �,Hate
10,Fuck you China and your Chinese virus � Rest in peace Pickup man ��,Hate
11,"China has expelled three WSJ journalists for writing a ""racist"" opinion piece, i.e. telling the truth about experiences of Coronavirus in China for a Western audience  Do you want your journalists to be ""racists""?",Neutral
12,Fuck the Communist Party of China.  � � �  #ChinaLiedPeopleDied �    https://t.co/MoaZ3OHmLJ,Hate
13,@getongab zoom=chink trash,Neutral
14,"@realDonaldTrump Asian Americans will encounter more discrimination and violence, because of you calling the coronavirus, the ""Chinese Virus"". The blacks are beating the Asian people up in Philadelphia. Please stop the racist violence. #RacismIsAVirus",Counterhate
15,@Fight4_Freedumb @Whyaduck @ClueHeywood @realDonaldTrump Nopity Nope. Calling it the Chinese Virus is racist. Closing flights from 1 country is ineffective. Can I ask you a serious question?,Counterhate
16,Let's trend  #ChineseVirus till these losers stop eating the shit they eat. #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus,Hate
17,@ChineseTigress @ashoswai Hello female Chinese virus Go eat pig shit,Hate
18,"@Honda The US people has been killed enormously with Chinese killing virus!We are in a hurry to increase Ekmo production,especially with respiratory failure!Seems to be deceive with Interleukin administration by Cytokinestorm!Administer Avigan early! https://t.co/QPMHYqZ41S",Neutral
19,@nytimes Well that’s not true. It was for non-Chinese Virus treatment. Lying asshole trouble making twats.,Non-Asian Aggression
20,"This heartless spineless monster wants this virus to spread in hoping it will wipe out POC, LGBTQ, Muslims, Asian and women who can't stand his mushroom dick ass.",Non-Asian Aggression
21,@JackyLe23850225 @chinaorgcn We are all fuck because of the #ChineseVirus we should hold China accountable and all countries should impose sanctions until they become transparent ��� thousands of deaths and economic catastrophe because of China's lack of transparency about the #ChineseVirus,Hate
22,@AOC #ChinaLiedPeopleDied  quit blaming the President and republicans. How about you STFU. You have no clue.,Hate
23,"As of last week, @MarvelStudios’ #BlackWidow’s now 2020’s only film 2 have it’s trailer pass 40 million views on @YouTube, meaning it passed d threshold needed 2 have a shot @ being 2020’s lone billion dollar worldwide hit, even if China can’t help it due 2 the CoronaVirus Crisis https://t.co/ABT3naCLqf",Neutral
